Names,Meaning,Vectors
Ангелина,Ангельская,
Александра,Защитница,
Анастасия,Воскрешение,
Медея,Мысль,
Игорь,Хладнокровный воин,
Михаил ,Подобный богу,
Анна,Польза,
Мирослава,Мир - слава,
Ксения,Гостеприимная,
Алеся,Защитница,
Милена,Хорошая,
Виктория,Завоевательница,
Екатерина,Чистая,
Кристина,Последователь,
Полина,Маленькая,
Виктория,Завоевательница,
Кувват,Жертва,
Гулустан,Цветник,
Гулай,Лунный,
Джейхун,Богатый,
Тавус,Павлин,
Полина,Маленькая,
Дарья,Огонь великий,
Александра,Защитница,
Наиля,Успех,
Любовь,Людям милая,
Анастасия,Воскрешение,
Арианна,Святая,
Екатерина,Чистая,
Полина,Маленькая,
Екатерина,Чистая,
Елена,Зеленая,
Дмитрий,Земледелец,
Анастасия,Воскрешение,
Анастасия,Воскрешение,
Диана,Божественная,
Ксения,Гостеприимная,
Софья,Премудрость,
Анна,Польза,
Казбулат,Тайна,
Ксения,Гостеприимная,
Виктория,Завоевательница,
Валерия,Сильная,
Светлана,Светлая,
Карина,Орех,
Алина,Другая,
Виолетта,Фиолетовый,
Полина,Маленькая,
Алёна,Любимая,
Сарра,Радость,
Александр,Защитник,
Анастасия,Воскрешение,
Телли,Украшенная,
София,Мудрость,
Арсен,Мужественный,
Алина,Другая,
Карина,Орех,
Ольга,Светлая,
Полина,Маленькая,
Анна,Польза,
Максим,Большой,
Никита,Победитель,
Екатерина,Чистая,
Ольга,Светлая,
Татьяна,Повелительница,
Хассан Мохамед,Красивый,
Екатерина,Чистая,
Александра,Защитница,
Ксения,Гостеприимная,
Александра,Защитница,
Екатерина,Чистая,
Максим,Большой,
Виктория,Завоевательница,
Елизавета,Почитающая Бога,
Милена,Хорошая,
Арина,Мир,
София,Мудрость,
Анастасия,Воскрешение,
Артём,Здоровый,
Елизавета,Почитающая Бога,
Татьяна,Повелительница,
Дарья,Огонь великий,
Максим,Большой,
Мария,Горькая,
Софья,Премудрость,
Арина,Мир,
Виктория,Завоевательница,
Маргарита,Жемчужина,
Екатерина,Чистая,
Маргарита,Жемчужина,
Юлия,Учтивая,
Анна,Польза,
Елизавета,Почитающая Бога,
Алина,Другая,
Полина,Маленькая,
Артем,Мясник,
Юлия,Учтивая,
Дарья,Огонь великий,
Людмила,Людям милая,
Анастасия,Воскрешение,
Элиас,Бог Яхве,
Екатерина,Чистая,
Алина,Другая,
Златислава,Эталон,
Мария,Горькая,
Хуссайн Мохаммед,Красивый,
Екатерина,Чистая,
Сельби,Кипарис,
Виктория,Завоевательница,
Виктория,Завоевательница,
Артём,Здоровый,
Дарья,Огонь великий,
Лиана,Изящный луг,
Виктория,Завоевательница,
Виктория,Завоевательница,
Арина,Мир,
Оксана,Чужой,
Екатерина,Чистая,
Татьяна,Повелительница,
Марина,Морская,
Ксения,Гостеприимная,
Мария,Горькая,
Мария,Горькая,
Полина,Маленькая,
Марк,Молот,
Екатерина,Чистая,
София,Мудрость,
Артем,Мясник,
Виктория,Завоевательница,
Лилия,Цветок,
Вероника,Свет победы,
Диана,Божественная,
Елизавета,Почитающая Бога,
Дарья,Огонь великий,
Лусине,Добро,
Екатерина,Чистая,
Арина,Мир,
Татьяна,Повелительница,
Даниил,Судья,
Милана,Милая,
София,Мудрость,
Самира,Собеседница,
Олеся,Лесная,
София,Мудрость,
Елизавета,Почитающая Бога,
Екатерина,Чистая,
Софья,Премудрость,
Дарья,Огонь великий,
Глеб,Наследник бога,
Никита,Победитель,
Елена,Зеленая,
Дарина,Подарок,
Валерия,Сильная,
Стефани,Корона,
Мария ,Горькая,
Маргарита,Жемчужина,
Асмик,Жасмин,
Игорь,Хладнокровный воин,
Полина,Маленькая,
Алина,Другая,
Александра,Защитница,
Елена ,Зеленая,
 Валерия,Сильная,
Лилия,Цветок,
Алина,Другая,
Аджил Маити,Лечащая,
Игорь,Хладнокровный воин,
Валерия,Сильная,
Софья,Премудрость,
Богдан,Данный Богом,
Елизавета,Почитающая Бога,
Ноур,Солнечный,
Тахмина,Смелая,
 Екатерина,Чистая,
Вероника,Свет победы,
Полина,Маленькая,
Линда,Красивая,
Яна,Милость Божья,
Алина,Другая,
Марина,Морская,
Милана,Милая,
Мария,Горькая,
Анастасия,Воскрешение,
Юлия,Учтивая,
Вероника,Свет победы,
Дмитрий,Земледелец,
Ираида,Героиня,
Лилия,Цветок,
Дарья,Огонь великий,
Карина,Орех,
Алина,Другая,
Фарангиз,Любимая,
София,Мудрость,
 Вероника,Свет победы,
Иван,Божья благодать,
Дарья,Огонь великий,
Марина,Морская,
Виктория,Завоевательница,
Дмитрий,Земледелец,
Владислава,Владеющая славой,
Диана,Божественная,
Дарья,Огонь великий,
Камилла,Хранительница,
Иван,Божья благодать,
Кристина,Последователь,
Полина,Маленькая,
Андрей,Мужественный,
Инесса,Чистая,
Матвей,Дар Бога,
Маргарита,Жемчужина,
Оксана,Чужой,
Наталия,Природная,
Милана,Милая,
Арина,Мир,
Алена,Любимая,
Эвелина,Небельшая птица,
Виолетта,Фиолетовый,
Полина,Маленькая,
Фаина,Блестящая,
Лилия,Цветок,
Елена,Зеленая,
Полина,Маленькая,
Юлия,Учтивая,
Вера,Вера,
София,Мудрость,
Милана,Милая,
Екатерина,Чистая,
Дарья,Огонь великий,
Елизавета,Почитающая Бога,
Кристина,Последователь,
Ксения,Гостеприимная,
Алина,Другая,
Анна,Польза,
Мария,Горькая,
Александр,Защитник,
Анастасия,Воскрешение,
Евгения,Благородная,
Алина,Другая,
Анна,Польза,
Ольга,Светлая,
София,Мудрость,
Оксана,Чужой,
Алена,Любимая,
Ани,Талант,
Ангелина,Ангельская,
Сетрик,Лесной,
Елизавета,Почитающая Бога,
Тамара,Финиковая память,
Надежда,Надежда,
Ольга,Светлая,
Вячеслав,Более славный,
Роза,Слава,
Анна,Польза,
Маргарита,Жемчужина,
Анна,Польза,
Фарахноз,Счастливая,
Елизавета,Почитающая Бога,
Екатерина,Чистая,
Татьяна,Повелительница,
Екатерина,Чистая,
Максим,Большой,
Елизавета,Почитающая Бога,
Анастасия,Воскрешение,
Евгений,Благородный,
Алина,Другая,
Полина,Маленькая,
Диана,Божественная,
Эвелина,Небельшая птица,
Варвара,Жестокая,
Рената,Обновленная,
Ирина,Мир,
Анастасия,Воскрешение,
Яна,Милость Божья,
Анастасия,Воскрешение,
Мария,Горькая,
Дарья,Огонь великий,
София,Мудрость,
Надежда,Надежда,
Кирилл,Владыка,
Вероника,Свет победы,
Тамилла,Мучить,
Елизавета,Почитающая Бога,
Али Мундхер,Высокий,
Алина,Другая,
Алиса,Благородная,
Елизавета,Почитающая Бога,
Валерия,Сильная,
Екатерина,Чистая,
Баир,Радость,
Дмитрий,Земледелец,
Мариам,Горькая,
Валерия,Сильная,
Илья,Решительный,
Мария,Горькая,
Анастасия,Воскрешение,
Виктория,Завоевательница,
Ангелина,Ангельская,
Мария,Горькая,
Виолетта,Фиолетовый,
Юлиана,Сошла с Юпитера,
Софья,Премудрость,
Екатерина,Чистая,
Диана,Божественная,
Анастасия,Воскрешение,
Филипп,Любящий лошадей,
Анастасия,Воскрешение,
Светлана,Светлая,
Анаид,Безукоризненная,
Альфия,Тысячестишие,
Джаббар,Могущественный,
Рахим,Сострадательный,
Ульяна,Принадлежащая Юлию,
Георгий,Земледелец,
Юлия,Учтивая,
Дарья,Огонь великий,
Елизавета,Почитающая Бога,
Софья,Премудрость,
Анастасия,Воскрешение,
Павел,Небольшой,
Виталина,Жизнь,
Анна,Польза,
Дарья,Огонь великий,
Даниил,Судья,
Софья,Премудрость,
Анна,Польза,
Полина,Маленькая,
Яна,Милость Божья,
Александра,Защитница,
Игорь,Хладнокровный воин,
Биллел,Влага,
Екатерина,Чистая,
Мария,Горькая,
Дмитрий,Земледелец,
Лидия,Жительница Лидии,
Анастасия,Воскрешение,
Мария,Горькая,
Алина,Другая,
Алика,Алая,
Светлана,Светлая,
Оксана,Чужой,
Лана,Камень,
Дарья,Огонь великий,
Наргила,Кокосовый орех,
Александра,Защитница,
Яна,Милость Божья,
Дарья,Огонь великий,
Елена,Зеленая,
Ангелина,Ангельская,
Анастасия,Воскрешение,
Амина,Верная,
Софья,Премудрость,
Екатерина,Чистая,
Анастасия,Воскрешение,
Полина,Маленькая,
Екатерина,Чистая,
Екатерина,Чистая,
Егор,Земледелец,
Миласлава,Славная миром,
Таисия,Принадлежащая Изиде,
Елизавета,Почитающая Бога,
Мария,Горькая,
Анна,Польза,
Ангелина,Ангельская,
Владимир,Владающий миром,
Денис,Посвященный Дионису,
Арина,Мир,
Анастасия,Воскрешение,
Наталья,Родной,
Эльвира,Оберегающая,
Данил,Судья,
Анна,Польза,
Анастасия,Воскрешение,
Николай,Победитель народов,
Елизавета,Почитающая Бога,
Вероника,Свет победы,
Анна,Польза,
Камила,Хранительница,
Яна,Милость Божья,
Дарья,Огонь великий,
Владислав,Правило славы,
Мария,Горькая,
Бассам Фарах,Улыбающийся,
Тимур,Стойкий,
Милана,Милая,
София,Мудрость,
Юлия,Учтивая,
Анна,Польза,
Махмуд,Хвалимый,
Софья,Премудрость,
Елизавета,Почитающая Бога,
Мария,Горькая,
Елизавета,Почитающая Бога,
Ксения,Гостеприимная,
Светлана,Светлая,
Мария,Горькая,
Ульяна,Принадлежащая Юлию,
Софья,Премудрость,
Милена,Хорошая,
Ольга,Светлая,
Юлия,Учтивая,
Анастасия,Воскрешение,
Алена,Любимая,
Евгений,Благородный,
Зумруд,Изумруд,
Анна,Польза,
Альбина,Белая,
Аделина,Благародная,
Дарья,Огонь великий,
Валерия,Сильная,
Сара,Госпожа,
Анастасия,Воскрешение,
Елена,Зеленая,
Екатерина,Чистая,
Мария,Горькая,
Мария,Горькая,
Виктория,Завоевательница,
Хеда,Верущая,
Илона,Светлая,
Анна,Польза,
Ольга,Светлая,
Жанна,Польза,
Антон,Боец,
Екатерина,Чистая,
Александра,Защитница,
Виктория,Завоевательница,
Полина,Маленькая,
Дарья,Огонь великий,
Гунел Элмар,Вождь народов,
Максим,Большой,
Камилла,Хранительница,
Юлия,Учтивая,
Софья,Премудрость,
Артур,Медведь,
Мария,Горькая,
Дарина,Подарок,
Олеся,Лесная,
Андрей,Мужественный,
Григорий,Бдительность,
Владислав,Правило славы,
Владлена,Владимир Ленин,
Мария,Горькая,
Виктория,Завоевательница,
Анастасия,Воскрешение,
Алина,Другая,
Юлия,Учтивая,
Анатолия,Восточная,
Ирина,Мир,
Лада,Владеющая слава,
Вероника,Свет победы,
Ольга,Светлая,
Анна,Польза,
Глеб,Наследник бога,
Вероника,Свет победы,
Юлия,Учтивая,
Ольга,Светлая,
Екатерина,Чистая,
Мария,Горькая,
Екатерина,Чистая,
Владислав,Правило славы,
Анна,Польза,
Марина,Морская,
Эллина,Гречанка,
Ксения,Гостеприимная,
Алина,Другая,
Софья,Премудрость,
Дарья,Огонь великий,
Екатерина,Чистая,
Дарина,Подарок,
Анастасия,Воскрешение,
Дмитрий,Земледелец,
Алиса,Благородная,
Снежана,Снежная,
Александра,Защитница,
Ботур,Защитник,
Дарья,Огонь великий,
Дарья,Огонь великий,
Ольга,Светлая,
Валентина,Здоровая,
Наталья,Родной,
Валерия,Сильная,
Шермухаммад Зокир,Лечащий,
Андрей,Мужественный,
Анастасия,Воскрешение,
Екатерина,Чистая,
Анна,Польза,
Павел,Небольшой,
Карина,Орех,
Жанна,Милость Божья,
Алиса,Благородная,
Екатерина,Чистая,
Валерия,Сильная,
Ксения,Гостеприимная,
Сусанна,Лилия,
Софья,Премудрость,
Алина,Другая,
Полина,Маленькая,
Александр,Защитник,
Андрей,Мужественный,
Екатерина,Чистая,
Лика,Лицо,
Анна,Польза,
Никита,Победитель,
Святослав,Святая слава,
Дарья,Огонь великий,
Алиса,Благородная,
Арина,Мир,
Андрей,Мужественный,
Владимир,Владающий миром,
Ростислав,Растущая слава,
Варвара,Жестокая,
Дмитрий,Земледелец,
Маргарита,Жемчужина,
Иван,Божья благодать,
Виктория,Завоевательница,
Элеонора,Бог,
Глеб,Наследник бога,
София,Мудрость,
Егор,Земледелец,
Яна,Милость Божья,
Татьяна,Повелительница,
Владислав,Правило славы,
Нина,От Нин,
Дарья,Огонь великий,
Анастасия,Воскрешение,
Дмитрий,Земледелец,
Геннадий,Благородный,
Анна,Польза,
Елизавета,Почитающая Бога,
Владимир,Владающий миром,
Полина,Маленькая,
Ильнар,Луч,
Любовь,Людям милая,
Вероника,Свет победы,
Дарья,Огонь великий,
Мария,Горькая,
Татьяна,Повелительница,
Виктория,Завоевательница,
Юлия,Учтивая,
Александр,Защитник,
Ангелина,Ангельская,
Виолетта,Фиолетовый,
Владислав,Правило славы,
Валентина,Здоровая,
Владимир,Владающий миром,
Дарья,Огонь великий,
Лилия,Цветок,
Наталия,Природная,
Ксения,Гостеприимная,
Виолетта,Фиолетовый,
Вильяррага Дженнифер,Лечащая,
Дарья,Огонь великий,
Софья,Премудрость,
Дарья,Огонь великий,
Ксения,Гостеприимная,
Василий,Царь,
Муса,Сын,
Агавни,Вещь в себе,
Полина,Маленькая,
Алина,Другая,
Екатерина,Чистая,
Ирина,Мир,
Полина,Маленькая,
Дарья,Огонь великий,
Нина,Царица,
Юлия,Учтивая,
Виктория,Завоевательница,
Екатерина,Чистая,
Екатерина,Чистая,
София,Мудрость,
Дарья,Огонь великий,
Кристина,Последователь,
Екатерина,Чистая,
Алина,Другая,
Мария,Горькая,
Валерия,Сильная,
Меланя,Тёмный,
Элисса,Лёгкая,
Диана,Божественная,
София,Мудрость,
Екатерина,Чистая,
Алина,Другая,
Влада,Владеющая слава,
Ангелина,Ангельская,
Валерия,Сильная,
Сергей,Высокий,
Алиса,Благородная,
Алина,Другая,
Екатерина,Чистая,
Анна,Польза,
Юлия,Учтивая,
Егор,Земледелец,
Сергей,Высокий,
Алина,Другая,
Алина,Другая,
Софья,Премудрость,
Ксения,Гостеприимная,
Татьяна,Повелительница,
Софья,Премудрость,
Диана,Божественная,
Аглая,Красота,
Валерия,Сильная,
Кристина,Последователь,
Анастасия,Воскрешение,
Анна,Польза,
Егор,Земледелец,
Алина,Другая,
Анфиса,Цветущая,
Елизавета,Почитающая Бога,
Виолетта,Фиолетовый,
Анастасия,Воскрешение,
Нина,Царица,
Анастасия,Воскрешение,
Екатерина,Чистая,
Макар,Счастливый,
Анастасия,Воскрешение,
Екатерина,Чистая,
Татьяна,Повелительница,
Сергей,Высокий,
Кирилл,Владыка,
Абдельфетах,Неуравновешанный,
Александр,Защитник,
Яна,Милость Божья,
Елизавета,Почитающая Бога,
Александра,Защитница,
Ульяна,Принадлежащая Юлию,
Марина,Морская,
Мария,Горькая,
Кристина,Последователь,
София,Мудрость,
Владислав,Правило славы,
Дарья,Огонь великий,
Софья,Премудрость,
Софья,Премудрость,
Светлана,Светлая,
Арина,Мир,
Елизавета,Почитающая Бога,
Алиса,Благородная,
Дарья,Огонь великий,
Ника,Победа,
Екатерина,Чистая,
Аида,Первая дочь,
Евгения,Благородная,
Римма,Яблочко,
Ольга,Светлая,
Валерия,Сильная,
Валерия,Сильная,
Алина,Другая,
Елизавета,Почитающая Бога,
Дарья,Огонь великий,
Екатерина,Чистая,
Софья,Премудрость,
Елизавета,Почитающая Бога,
Екатерина,Чистая,
Мария,Горькая,
Эдита,Богатая,
Анастасия,Воскрешение,
Анна,Польза,
Алиса,Благородная,
Маргарита,Жемчужина,
Алиса,Благородная,
Виктория,Завоевательница,
Анвар,Яркий,
Семен,Бог услышал,
Лада,Владеющая славой,
Мария,Горькая,
Хава,Благородная,
Инна,Бурный поток,
Владимир,Владающий миром,
Ирина,Мир,
Кристина,Последователь,
Владислав,Правило славы,
Валентина,Здоровая,
Антон,Боец,
Нилуфар,Лотос,
Елизавета,Почитающая Бога,
Камила,Полноценная,
Анна,Польза,
София,Мудрость,
Юлия,Учтивая,
Юлия,Учтивая,
Маргарита,Жемчужина,
Виктория,Завоевательница,
Валерия,Сильная,
Лейсан,Щедрость,
Марем,Жеалние,
Софья,Премудрость,
Анна,Польза,
Марианна,Принадлежащая богу Марса,
Даниэлла,Судья,
Елизавета,Почитающая Бога,
Эллина,Гречанка,
Анна,Польза,
София,Мудрость,
Арианна,Святая,
Дарья,Огонь великий,
Виктория,Завоевательница,
Екатерина,Чистая,
Анна,Польза,
Диана,Божественная,
Анастасия,Воскрешение,
Виктория,Завоевательница,
Мария,Горькая,
Александра,Защитница,
Арина,Мир,
Леонид,Сын льва,
Софья,Премудрость,
София,Мудрость,
Алексей,Защитник,
Алина,Другая,
Анастасия,Воскрешение,
Ксения,Гостеприимная,
Артем,Мясник,
Альбина,Белая,
Милена,Хорошая,
Софья,Премудрость,
Виктория,Завоевательница,
Екатерина,Чистая,
Елизавета,Почитающая Бога,
Светлана,Светлая,
Юлия,Учтивая,
Екатерина,Чистая,
Александр,Защитник,
София,Мудрость,
Ольга,Светлая,
Ульяна,Принадлежащая Юлию,
Дарья,Огонь великий,
Александра,Защитница,
Анна,Польза,
Алина,Другая,
Джамаль,Красивый,
Алина,Другая,
Ангелина,Ангельская,
Анастасия,Воскрешение,
Виктория,Завоевательница,
Анна,Польза,
Илья,Решительный,
Даниил,Судья,
Мариета,Маленькая,
Жанна,Милость Божья,
Мария,Горькая,
Виктория,Завоевательница,
Илья,Решительный,
Анастасия,Воскрешение,
Владислава,Владеющая славой,
Мария,Горькая,
Екатерина,Чистая,
Светлана,Светлая,
Елизавета,Почитающая Бога,
Полина,Маленькая,
Анастасия,Воскрешение,
Анастасия,Воскрешение,
Ольга,Светлая,
Дарья,Огонь великий,
Марина,Морская,
Валерия,Сильная,
Есения,Осень,
Ламара,Богородица,
Софья,Премудрость,
Диана,Божественная,
Анастасия,Воскрешение,
Анна,Польза,
Михаил,Подобный богу,
Елена,Зеленая,
София,Мудрость,
Эвелина,Небельшая птица,
Алексей,Защитник,
Доменика,Господский,
Владимир,Владающий миром,
Арина,Мир,
Ростислав,Растущая слава,
Анна,Польза,
Александр,Защитник,
Сабина,Сладкая,
Анастасия,Воскрешение,
Мария,Горькая,
Софья,Премудрость,
Орнелла,Дерево ягоды,
Тамара,Финиковая память,
Мария,Горькая,
Валерия,Сильная,
Рипсимэ,Полезная,
Давид,Любимец,
Кирилл,Владыка,
София,Мудрость,
Мария,Горькая,
Глеб,Наследник бога,
Эвелина,Небельшая птица,
Карина,Орех,
Андрей,Мужественный,
Кристина,Последователь,
Елизавета,Почитающая Бога,
Екатерина,Чистая,
Алина,Другая,
Елизавета,Почитающая Бога,
Кристина,Последователь,
Александра,Защитница,
Максим,Большой,
Алина,Другая,
Сабина,Сладкая,
Ангелина,Ангельская,
Тимофей,Почитающий Бога,
Арина,Мир,
Тимофей,Почитающий Бога,
Елизавета,Почитающая Бога,
Сельвина,Дорогая,
Виктория,Завоевательница,
Владислав,Правило славы,
Дарья,Огонь великий,
Максим,Большой,
Матвей,Дар Бога,
Феодора,Божий дар,
Елизавета,Почитающая Бога,
Алиса,Благородная,
Елизавета,Почитающая Бога,
Алина,Другая,
Мария,Горькая,
Владимир,Владающий миром,
Виктория,Завоевательница,
Валерия,Сильная,
Владислав,Правило славы,
Яна,Милость Божья,
Екатерина,Чистая,
Алина,Другая,
Екатерина,Чистая,
Анастасия,Воскрешение,
Валерия,Сильная,
Марина,Морская,
Маргарита,Жемчужина,
Полина,Маленькая,
Элина,Гречанка,
Алла,Богиня дождя,
Виолетта,Фиолетовый,
Денис,Посвященный Дионису,
Стефания,Корона,
Мария,Горькая,
Диана,Божественная,
Алина,Другая,
Алиса,Благородная,
Анастасия,Воскрешение,
Марет,Мать пророка Исы,
Полина,Маленькая,
Галина,Спокойная,
Мария,Горькая,
Лариса,Укрепленный город,
Ольга,Светлая,
Мария,Горькая,
Арманд,Армия,
Дарья,Огонь великий,
Богдан,Данный Богом,
София,Мудрость,
Валерия,Сильная,
Ангелина,Ангельская,
Татьяна,Повелительница,
Валерия,Сильная,
Валерия,Сильная,
Влада,Владеющая славой,
Алексей,Защитник,
Ярослав,Яркая слава,
Анастасия,Воскрешение,
Яна,Милость Божья,
Анастасия,Воскрешение,
Екатерина,Чистая,
Мария,Горькая,
Александра,Защитница,
Рената,Обновленная,
Анна,Польза,
Алина,Другая,
Анастасия,Воскрешение,
Марина,Морская,
Серафима,Жгущий,
Эсма,Дорожка,
Ульяна,Принадлежащая Юлию,
Варвара,Жестокая,
Анастасия,Воскрешение,
Андреа,Мужественный,
Александра,Защитница,
Лолита,Печаль,
Анна,Польза,
Валерия,Сильная,
Анна,Польза,
Галина,Спокойная,
Мария,Горькая,
Лидия,Жительница Лидии,
Айза,Золотая луна,
Джамиля,Красивая,
Юлия,Учтивая,
Ксения,Гостеприимная,
Елена,Зеленая,
Мария,Горькая,
Марина,Морская,
Александра,Защитница,
Елена,Зеленая,
Светлана,Светлая,
Дарья,Огонь великий,
Маргарита,Жемчужина,
Яна,Милость Божья,
Анна,Польза,
Алина,Другая,
Анастасия,Воскрешение,
Анастасия,Воскрешение,
Яна,Милость Божья,
Екатерина,Чистая,
Виктория,Завоевательница,
Евгения,Благородная,
Анастасия,Воскрешение,
Татьяна,Повелительница,
Диана,Божественная,
Анастасия,Воскрешение,
Алина,Другая,
Светлана,Светлая,
Ксения,Гостеприимная,
Евгения,Благородная,
Анастасия,Воскрешение,
Ольга,Светлая,
Яна,Милость Божья,
Ирина,Мир,
Дарья,Огонь великий,
Ангелина,Ангельская,
Елизавета,Почитающая Бога,
Дарья,Огонь великий,
Алеся,Защитница,
Валерия,Сильная,
Анастасия,Воскрешение,
Алина,Другая,
Нияра,Блистательный,
Екатерина,Чистая,
София,Мудрость,
Виктория,Завоевательница,
Саглара,Пушистая,
Валери,Бодрый,
Альбина,Белая,
Гаянэ,Земля,
Анастасия,Воскрешение,
Анна,Польза,
Анастасия,Воскрешение,
Арина,Мир,
Евгения,Благородная,
Вера,Вера,
Найля,Достигающий успеха,
Надия,Щедрая,
Максим,Большой,
Артём,Здоровый,
Далер,Смелый,
Генрик,Властелин двора,
Дарья,Огонь великий,
Валерия,Сильная,
Елизавета,Почитающая Бога,
Елена,Зеленая,
Кристина,Последователь,
Арина,Мир,
Эвелина,Небельшая птица,
Егор,Земледелец,
Ирина,Мир,
Маргарита,Жемчужина,
Евгения,Благородная,
Арина,Мир,
Роман,Сильный,
Глеб,Наследник бога,
Елена,Зеленая,
Александра,Защитница,
Владислава,Владеющая славой,
Ангелина,Ангельская,
Ева,Дающая жизнь,
Арина,Мир,
Марина,Морская,
Елизавета,Почитающая Бога,
Александра,Защитница,
Полина,Маленькая,
Сергей,Высокий,
Алина,Другая,
Элла,Богиня,
Владислав,Правило славы,
Елизавета,Почитающая Бога,
Полина,Маленькая,
Яна,Милость Божья,
Хода,Творец,
Игорь,Хладнокровный воин,
Дарья,Огонь великий,
Дарья,Огонь великий,
Анна,Польза,
Людмила,Людям милая,
Антон,Боец,
Илья,Решительный,
Ольга,Светлая,
Алина,Другая,
Ксения,Гостеприимная,
Этель,Дворянин,
Кирилл,Владыка,
Илья,Решительный,
Виктория,Завоевательница,
Софья,Премудрость,
Диана,Божественная,
Кира,Правитель,
Дарья,Огонь великий,
Элина,Гречанка,
Карина,Орех,
Ника,Победа,
Дарья,Огонь великий,
Мария,Горькая,
Максим,Большой,
Анастасия,Воскрешение,
Дарья,Огонь великий,
Дарья,Огонь великий,
Александра,Защитница,
Юлия,Учтивая,
Дмитрий,Земледелец,
Виктория,Завоевательница,
Марина,Морская,
Калерия,Прекрасная,
Анна,Польза,
Элина,Гречанка,
Екатерина,Чистая,
Марем,Жеалние,
Яна,Милость Божья,
Людмила,Людям милая,
Юлия,Учтивая,
Ксения,Гостеприимная,
Александра,Защитница,
Алина,Другая,
Игорь,Хладнокровный воин,
Амина,Верная,
Алисия,Истина,
Татьяна,Повелительница,
Анна,Польза,
Мария,Горькая,
Екатерина,Чистая,
Ольга,Светлая,
Денис,Посвященный Дионису,
Екатерина,Чистая,
Софья,Премудрость,
Сергей,Высокий,
Инна,Плавающая,
Анастасия,Воскрешение,
Карина,Орех,
Алина,Другая,
Кристина,Последователь,
Алина,Другая,
Диана,Божественная,
Мария,Горькая,
Софья,Премудрость,
Алла,Богиня дождя,
Алина,Другая,
Елизавета,Почитающая Бога,
Влада,Владеющая славой,
Иван,Божья благодать,
Диана,Божественная,
Мария,Горькая,
Ксения,Гостеприимная,
Арианна,Святая,
Татьяна,Повелительница,
Анастасия,Воскрешение,
Елизавета,Почитающая Бога,
Полина,Маленькая,
Дарья,Огонь великий,
Александр,Защитник,
Лилия,Цветок,
Михаил,Подобный богу,
Карина,Орех,
Екатерина,Чистая,
